Crs Code,Name,Changed By,Changed Date,NLC,16 Char Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Address Line 5,Postcode,Longitude,Latitude,Station Operator,Staffing Level,CCTV Available,Info. avail. from staff,Opening Note,CIS,Help Points,Help Points Available,Ticket Office Opening Note,Ticket Office Available,Ticket Office Location,Pre-purchase Collection,Ticket Machine Available,Oyster Issued,Oyster Topup,Oyster Pickup,Use Oyster,Oyster Comments,Smartcard Issued,Smartcard Topup,Smartcard Pickup,Smartcard Validator,Smartcard Comments,Travelcard Zone,Penalty Fares,Penalty Fares TOCs,Penalty Fares URL,Always show Oyster,Note,Primary Tel Country,Primary Tel Nr.,Primary Tel Ext.,Url,Available,Operator Name,Primary Tel Country,Primary Tel Nr.,Primary Tel Ext.,Url,Opening Note,Available,Operator Name,1st Class Lounge Note,1st Class Lounge Opening Note,1st Class Lounge Available,Seated Area Available,Seated Area Location,Waiting Room Opening Note,Waiting Room Available,Waiting Room Location,Trolleys Available,Refreshments Note,Refreshments Available,WC Available,WC Location,Baby Change Available,Baby Change Location,Showers Available,Telephones Exist,Telephones Usage Type,Wifi Note,Wifi Available,Web Kiosk Opening Note,Web Kiosk Available,Postbox Available,Postbox Location,Tourist Info Available,Tourist Info Location,ATM Available,ATM Location,Bureau de Change Available,Shops Note,Shops Available,Helpline Note,Helpline Contact,Helpline Opening Note,Staff Help Note,Staff Help Opening Note,Staff Help Available,Induction Loop,Accessible Ticket Machines Note,Accessible Ticket Machines Available,Height Adjusted Counter Note,Height Adjusted Counter Available,Train Access Ramp Available,Accessible Taxis,Accessible Phones,Nearest Stations More Facilities Note,National Key Toilets Available,National Key Toilets Location,Step Free Access Note,Step Free Access Available,Ticket Gates Note,Ticket Gates Available,Impaired Mobility Set Down Note,Impaired Mobility Set Down Available,Wheelchairs Opening Note,Wheelchairs Available,Spaces,Sheltered,Security,Location,Note,Type,Rail Replacement Note,Rail Replacement Map,Taxi Rank,Onward Travel,Metro Services,Airport,Port,Car Hire,Cycle Hire,Station Alert,TOCs,Station Category,Page Guid,,,,,
CLG,Claygate,KMiller,23/01/2014,555600,CLAYGATE,Station Approach,The Parade,Claygate,,,KT10 0PB,-0.348236165,51.36121463,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,"<p>On Platform 2, near to the ticket office</p>",TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,N,,,,N,Y,,,Y,,N,,Y,Y,,N,,N,Y,CardsAndCoins,<p>Find WiFi Hotspots around Claygate station</p>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>Platform One has level access. Platform Two has level access. Interchange -via stepped footbridge or 20 minute walk round by road.</p>,N,,,,N,,N,32,Yes,Y,<p>Platform 2</p>,<p>Double cycle storage also available</p>,Stands,<p>Bus stops in Hare Lane at the end of the Parade.</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CLG.pdf"">here</a></p>",,,,,,,SW,,D03E54F5A2994B6492F3894111EC0267,,,,,
CSD,Cobham & Stoke d'Abernon,KMiller,29/12/2013,555700,-,Station Road,Cobham,,,,KT11 3BW,-0.389336167,51.31810024,SW,partTime,Y,,,"DepartureScreens, Announcements",<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Near station entrance next to ticket office</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,Y,Y,,N,,N,Y,CardsAndCoins,<p>Find WiFi Hotspots around Cobham & Stoke d'Abernon station</p>,N,,N,Y,,N,,N,,N,,N,,,,Please contact our Customer Service Centre on 0845 6000 650,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,"<p>There is step free access to Platform One, access to Platform Two is via a 55 step footbridge.</p>",N,,,,N,,N,68,Yes,Y,,,Stands,"<p>Station Forecourt, Station Road off Stoke Road</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CSD.pdf"">here</a></p>",,,,,,"<p>A note about�step free access:</p> <p>There is step free access to Platform One, access to Platform Two is via a 55 step footbridge</p>",SW,,212D3FA25DAB4EA4A546E01BC1791502,,,,,
CSA,Cosham,KMiller,29/12/2013,589600,COSHAM,High Street,Cosham,Portsmouth,,,PO6 3BD,-1.06754988,50.84208432,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside the main station entrance</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,N,,,N,,N,,N,Y,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=PO6 3BD&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Cosham station</a></p>",N,,N,N,,N,,N,,N,,N,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,<p>There is level access to both platforms at Cosham.</p> <p>Interchange is via level crossing at the Fareham end of the platforms.</p>,N,,,,N,,N,24,Yes,Y,,,Stands,<p>Outside Station in High Street</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CSA.pdf"">here</a></p>",,,,,,"<p>Platform information may be showing incorrectly for this station. Trains for Fareham / Southampton depart from Platform 1, and trains for Havant / Portsmouth depart from Platform 2.</p> <p>A note about step free access:</p> <p>There is level access to both platforms at Cosham.</p> <p>Interchange is via level crossing at the Fareham end of the platforms.</p>",SW,,6466B86254FC42DBB35800F7CB721B5C,,,,,
CKN,Crewkerne,KMiller,29/12/2013,583200,CREWKERNE,Station Road,Crewkerne,,,,TA18 8AL,-2.778487421,50.87203517,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside the main station entrance.</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,Y,,N,Y,,Y,,N,Y,CardsAndCoins,<p>Find WiFi Hotspots around Crewkerne station</p>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,<p>Pre-booked only</p>,,,N,,<p>Crewkerne is a wheelchair accessible station.</p>,Y,,,,N,,N,12,No,Y,<p>Platform 1</p>,,Stands,<p>Station Forecourt</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CKN.pdf"">here</a></p>",,,,,,,SW,,5590D2596CCB4B498BC3503B6BB4B411,,,,,
DAT,Datchet,BAyres,28/01/2014,566800,DATCHET,High Street,Datchet,Berkshire,,,SL3 9ED,-0.579416012,51.48308149,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>On platform 1 by the entrance to ticket office</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,N,,,N,,N,,N,N,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SL3 9ED&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Datchet station</a></p>",N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>There is level access to both platforms. Interchange is via a level crossing close to the station.</p> <p>We regret that due to ongoing vandalism&nbsp,there are no ramps to assist users boarding and alighting at Datchet - Please contact our Assisted Travel team (0800 52 82 100) to arrange alternative assistance.</p>,N,,,,N,,N,33,No,Y,<p>Stands located on platform 1</p>,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""3 cycle lockers and 30 cycle stand parking spaces"">3 cycle lockers and 30 cycle stand parking spaces</span></p>","Lockers, Stands","<p>High Street, Town Side of level crossing</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/DAT.pdf"">here</a></p>",,,,,,<p>A note about step free access:</p> <p>There is level access to both platforms. Interchange is via a level crossing close to the station.</p> <p>We regret that due to ongoing vandalism�there are no ramps to assist users boarding and alighting at Datchet - Please contact our Assisted Travel team (0800 52 82 100) to arrange alternative assistance.</p>,SW,,A1775F8A59C34C7D98746B56B4B4346E,,,,
DCH,Dorchester South,KMiller,29/12/2013,596100,DORCHESTER SOUTH,Station Approach,Dorchester,,,,DT1 1QX,-2.437250357,50.70927877,SW,partTime,N,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside the entrance to the ticket office</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,Y,,N,Y,,N,,N,N,CardsAndCoins,<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=DT1 1QX&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Dorchester South station</a>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,"<p>There is level access through the booking hall to platform 1 (for trains to Poole, Bournemouth and London Waterloo). When the booking hall is closed there is level access via the car park.</p> <p>There is level access to platform 2 (for trains to Weymouth)</p> <p>There is no step free interchange between platforms. Passengers are advised to contact our Assisted Travel team.</p>",N,,,,N,,N,6,,N,,,Stands,"<p>Station forecourt, off Weymouth Avenue</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/DCH.pdf"">here</a></p>",,,,,,,SW,,478F7F6F00564AD19E022B0350E76452,,,,,
EAR,Earley,cevans,22/08/2013,569400,EARLEY,Station Road,Earley,Reading,Berkshire,,RG6 7DY,-0.917992325,51.44109521,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Located next to footbridge</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,N,Y,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=RG6 2DY&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Earley station</a></p>",N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,<p>There is no level access to platform&nbsp,2 (for trains to Wokingham and London Waterloo) - Passengers are advised to use Reading station.</p> <p>There is level access to platform&nbsp,1 (for trains to Reading)</p>,N,,,,N,,N,64,Yes,Y,<p>Platform 1</p>,,Stands,<p>Main A329 road - designated bus stops by Station Road</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/EAR.pdf"">here</a></p>",,,,,,,SW,,5935B02E745E487F81DBEC18DAEC68DE,,,
EAD,Earlsfield,welsbys,29/04/2013,558400,EARLSFIELD,Garratt Lane,London,,,,SW18 4SL,-0.188445946,51.44199132,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside the station entrance and near to ticket office</p>,TicketMachine,Y,N,Y,TicketMachine,Y,,N,N,NotAvailable,N,,Zone 3,,,,Y,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,Y,N,,N,,N,N,CardsAndCoins,<p>Find WiFi Hotspots around Earlsfield station</p>,N,,N,N,,N,,N,,N,,N,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>Earlsfield has no level access. There are three steep flights of steps to all platforms.</p> <p>Passengers are advised to use Wimbledon station or contact our Assisted Travel team.</p>,N,Wide aisle gate available.,Y,,N,,N,0,No,Y,,,,<p>Garratt Lane: To Wimbledon: Outside station To Waterloo: Opposite station</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/EAD.pdf"">here</a></p>",,,,,,<p>This station is currently undergoing reburbishment works and some station facilities will be unavailable to customers.</p>,SW,,E36AAF427F9A4246896A354643177265,,,,,
ESL,Eastleigh,cplewa,11/03/2014,589900,EASTLEIGH.,Southampton Road,Eastleigh,,,,SO50 4FL,-1.350088939,50.96924196,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>In the booking hall</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,Y,,Y,Y,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SO50 4FL&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Eastleigh station</a></p>",N,,N,Y,,N,,Y,,N,,Y,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,Y,Y,,,,N,"<p>A National Key Scheme toilet is available on platform 1. Radar Key available from station staff. If you wish to buy a 'National Key Scheme' key, [RADAR]. Their address is 12 City Forum, 250 City Road, London EC1V 8AF, tel: 020 7250 3222, minicom: 020 7250 4119, fax: 020 7250 0212, email: radar@radar.org.uk, web www.radar.org.uk/ site:</p>",<p>Eastleigh is accessible for wheelchair users. with level access to all platforms via lifts.</p> <p>The lifts are&nbsp,operational 24 hours a day</p>,Y,,,,N,,Y,63,Yes,Y,,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""5 cycle lockers and 58 cycle stand parking spaces"">5 cycle lockers and 58 cycle stand parking spaces</span></p>","Lockers, Stands",<p>To Southampton: Bus lay-by on Station Hill A335 To Winchester and terminating services: Station forecourt off Station Hill (A335)</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ESL.pdf"">here</a></p>",,,,,,,SW,,29B6367E0B434ECB8B0345EE08470B4B,,,,
EFF,Effingham Junction,KMiller,23/01/2014,564200,EFFINGHAM JN,Effingham Common Road,Leatherhead,,,,KT24 5HX,-0.419956236,51.29149416,SW,partTime,Y,,,"DepartureScreens, Announcements",<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside the ticket office entrance</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,N,,N,,N,Y,<p>Toilet facilities are only available when the station is staffed.</p>,N,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=KT24 5HX&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Effingham Junction station</a></p>",N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,<p>Guildford</p>,N,,<p>Effingham Junction is inaccessible to wheelchair users.</p>,N,,,,N,,N,28,Yes,Y,,,Stands,"<p>Station Car Park, Howard Road off Horsley Road.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/EFF.pdf"">here</a></p>",,,,,,,SW,,C254DD6B14F64424908D4F58A5844013,,,,,
EGH,Egham,KMiller,29/12/2013,566900,EGHAM,Station Road,Egham,,,,TW20 9LB,-0.54650574,51.42964981,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,"<p>Located near the station entrance, the footbridge and ticket office</p>",TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,N,N,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=TW20 9LB&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Egham station</a></p>",N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>Egham is accessible to wheelchair users. Interchange is via level crossing.</p>,N,,,,N,,N,48,Yes,Y,<p>Car park</p>,,Stands,<p>From Staines: Station road outside Station before level crossing To Staines: Station Road outside garage.</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/EGH.pdf"">here</a></p>",,,,,,,SW,,1823A3DF65564720932A2C8DD6D7A7DB,,,,,
ESH,Esher,CTucker,08/02/2014,555800,ESHER,Station Road,Esher,,,,KT10 8DY,-0.353326233,51.37989226,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside station near to the ticket office</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,Y,Y,,N,,N,N,CardsAndCoins,<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=KT10 8DY&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Esher station</a>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,<p>Only the down platform is accessible to wheelchairs and may require some assistance owing to steep slope.Passengers are advised to travel to Surbiton for interchange.</p>,N,,,,N,,N,60,Yes,Y,<p>Car park and platform 4</p>,,Stands,"<p>Station forecourt, adjacent to Station forcourt</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ESH.pdf"">here</a></p>",,,,,,"<p dir=""ltr""><span>Sunday�16 to�Tuesday 18 February</span></p> <p dir=""ltr""><span>I am pleased to announce that the ticket office is to be refurbished to provide better access for all our customers.</span></p> <p dir=""ltr""><span>During the work, fully trained staff will be on hand in the booking hall to assist in using the self-service ticket machines and offer travel advice.</span></p> <p dir=""ltr""><span>Please allow extra time to buy your tickets as this may take longer than normal.</span></p> <p dir=""ltr""><span>Thank you for your patience and understanding while we complete this essential work.</span></p>",SW,,B37BF93264234D6599F7DB41C344E431,,,,,
EWW,Ewell West,KMiller,29/12/2013,558600,EWELL WEST,Chessington Road,Ewell,Epsom,,,KT17 1TU,-0.256986854,51.35004515,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>On both platforms</p>,TicketMachine,Y,N,Y,TicketMachine,Y,,N,N,NotAvailable,N,,Zone 6,,,,Y,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,N,,,,N,Y,,,Y,,N,,N,Y,,N,,N,N,CardsAndCoins,,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,"<p>Platform One (for trains to Wimbledon and London Waterloo)- there is level access onto the platform via a footpath from Chessington Road. This is not suitable for Wheelchairs</p> <p>Platform Two (for trains to Dorking and Guildford) -�there is level access onto tthe platform from the station forecourt.</p> <p>Interchange�between platforms is via a footbridge with 52 steps or by taking a ten minute walk along Chessington Road.</p> <p>Please note that there is a large gap between the train and the platform near the bridge end, and passengers may prefer to use Epson station which is fully accessible.</p>",N,,,,N,,N,20,Yes,Y,<p>Car park </p>,,Stands,<p>Towards Epsom - Bus Stop opp Stn Entrance</p> <p>Towards Wimbledon - Station Forecourt</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/EWW.pdf"">here</a></p>",,,,,,"<p>Due to ongoing station improvements�the car park will be slightly reduced for the storage of heavy equipment and machinery. This is a temporary measure, and we are sorry for the inconvenience this may cause.</p>",SW,,23430265ECE9419CBACE42C8737F6ECC,,,,,
FRM,Fareham,BAyres,31/01/2014,590000,FAREHAM.,Station Approach,Fareham,,,,PO16 0UT,-1.192037892,50.85302175,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside the main station entrance</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,Coffee kiosk,Y,Y,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=PO14 1NP&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Fareham station</a></p>",N,,N,Y,Outside the station,N,,N,,N,Kiosk,Y,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,Y,Y,,,,N,,"<p>Interchange between platforms is via lift access.</p> <p>The lifts are available until 23.00 everyday&nbsp;</p> <p>Platforms 1 and 2 (for trains to Southampton, Eastleigh and Basingstoke)&nbsp; accessed via lift from platform 3.</p> <p>Platform 3 (for trains to Havant, Portsmouth and Brighton) has step-free access from the booking hall or side entrance from car park main entrance /exit side.</p> <p>&nbsp;</p>",Y,,,,N,,Y,90,Yes,Y,<p>Platform 3</p>,,Stands,"<p>Station forecourt, off Western Way</p>",,<p>Outside station entrance/exit</p>,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/FRM.pdf"">here</a></p>",,,,,,"<p>Due to Flooding, the lifts at Fareham are out of service until further notice.�There�is no step-free�access to Platform's 1 &amp; 2 (towards Eastleigh and Southampton). Customers will need�to travel from Cosham or Swanwick.�</p>",SW,,1F59582F2BD347A1B6C8FDE1C11A3914,,,,,
FNB,Farnborough (Main),KMiller,10/02/2014,552100,FARNBOROUGH MAIN,Farnborough Road,Farnborough,,,,GU14 7NL,-0.755725906,51.29660513,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside station near ticket office entrance</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,N,,N,,Y,Y,,Y,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=GU14 7NL&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Farnborough (Main) station</a></p>",N,,N,Y,,N,,Y,,N,,N,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,Y,Y,,,,N,"<p>A National Key Scheme toilet is available. Radar Key available from station staff. If you wish to buy a 'National Key Scheme' key, [RADAR]. Their address is 12 City Forum, 250 City Road, London EC1V 8AF, tel: 020 7250 3222, minicom: 020 7250 4119, fax: 020 7250 0212, email: radar@radar.org.uk, web www.radar.org.uk/ site:</p>",<p>Step free access across the station and to both platforms via lifts/footbridge</p>,Y,,,<p>In Station Forecourt adjacent to bus shelter on outward road from the station.</p>,Y,,Y,186,,Y,,,Stands,"<p>Station forecourt, off Union Street</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/FNB.pdf"">here</a></p>",,,,,,"<p style=""margin: 0cm 0cm 0pt;""><strong><span>Farnborough Main car park improvement:</span></strong></p> <p style=""margin: 0cm 0cm 0pt;""><span>From Friday 29 November the </span><span>main car park will be available for car park season ticket holders <strong>only </strong>before </span><span>0900�am subject to availability. Daily </span><span>parking tickets are <strong>not </strong>valid before 0900 am in this car park.</span></p> <p style=""margin: 0cm 0cm 0pt;""><span></span></p> <span> <p style=""line-height: normal; margin: 0cm 0cm 0pt;""><span><strong>From Monday 10 February to April 2014 (Union Street) </strong></span><span><strong>Car park season tickets holders ONLY before 0900</strong> subject to availability, Monday to Friday.</span></p> <p style=""line-height: normal; margin: 0cm 0cm 0pt;""><span></span></p> <p style=""margin: 0cm 0cm 0pt;""><span>Options for non-season ticket holders will be to use another local car park. The local car parks are between 2 - 12 minutes walk from the station - Rail car park season tickets will <strong>not </strong>be valid and local parking fees will apply.</span></p> <p style=""line-height: normal; margin: 0cm 0cm 0pt;"">�</p> <p style=""line-height: normal; margin: 0cm 0cm 0pt;""><span>For alternative parking in Farnborough please see our website or posters on the station.</span></p> <p style=""line-height: normal; margin: 0cm 0cm 0pt;""><span>I am sorry for the inconvenience caused while we complete this improvement work.</span></p> <p style=""margin: 0cm 0cm 0pt;"">�</p> </span> <p style=""margin: 0cm 0cm 0pt;""><span></span></p> <p style=""margin: 0cm 0cm 0pt;""><span></span></p>",SW,,31774DBB1C8F4C8E8473ADF8C5D14415,,,,,
